time,apparentTemperatureHigh,apparentTemperatureLow,apparentTemperatureMax,apparentTemperatureMin,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMax,temperatureMin,uvIndex,visibility,windBearing,windGust,windSpeed
04-23-2017,73.25800000000001,53.71,73.25800000000001,53.644000000000005,0.198,46.288,0.5720000000000001,0.9,0.0,0.0,0.0,1013.0440000000001,1492953337.0,1493001767.4,73.25800000000001,53.71,73.25800000000001,53.644000000000005,9.2,8.62,254.8,12.511999999999999,3.112
04-23-2018,85.96000000000001,56.660000000000004,85.96000000000001,57.96600000000001,0.13799999999999998,46.11,0.466,0.28,0.0,0.0,0.0,1013.8539999999999,1524489355.0,1524537754.0,85.96000000000001,56.660000000000004,85.96000000000001,57.96600000000001,9.0,8.552,316.6,10.575999999999999,1.722
04-24-2016,71.03,49.129999999999995,71.03,52.394000000000005,0.196,45.638,0.5900000000000001,0.58,0.00128,0.01842,0.21600000000000003,1014.734,1461503645.4,1461552234.0,71.03,49.428,71.03,52.394000000000005,9.2,8.558,280.4,15.678,3.0240000000000005
04-24-2017,67.962,52.33399999999999,67.962,53.71,0.532,47.108000000000004,0.6359999999999999,0.9399999999999998,0.00041999999999999996,0.00256,0.178,1014.3399999999999,1493039663.0,1493088221.0,67.962,52.33399999999999,67.962,53.71,7.0,8.81,245.6,17.125999999999998,4.6259999999999994
04-24-2018,84.44199999999998,56.334,84.44199999999998,56.660000000000004,0.142,46.658,0.48200000000000004,0.32,0.0,0.0,0.0,1014.0619999999999,1524575680.8,1524624208.0,84.44199999999998,56.334,84.44199999999998,56.660000000000004,9.0,8.956,230.0,10.212,1.5379999999999998
04-25-2016,66.16999999999999,47.712,66.16999999999999,48.806,0.298,36.046,0.47400000000000003,0.61,0.00014,0.00296,0.136,1014.5019999999998,1461589972.8,1461638687.6,66.16999999999999,48.092,66.16999999999999,49.104,8.0,8.459999999999999,302.8,19.032000000000004,5.16
04-25-2017,69.16999999999999,54.402,69.16999999999999,52.33399999999999,0.40199999999999997,46.602,0.6220000000000001,0.97,0.0,0.0,0.0,1015.566,1493125990.0,1493174675.0,69.16999999999999,54.402,69.16999999999999,52.33399999999999,7.6,8.654,268.0,12.514000000000001,3.37
04-25-2018,84.058,55.641999999999996,84.058,56.334,0.124,48.565999999999995,0.52,0.36,0.0,0.0,0.0,1015.094,1524662007.4,1524710662.0,84.058,55.641999999999996,84.058,56.334,9.4,9.326,233.6,9.256,1.762
04-26-2016,70.812,51.44000000000001,70.812,47.712,0.27,37.946000000000005,0.4659999999999999,0.64,0.0,0.0,0.0,1015.7059999999999,1461676301.0,1461725142.0,70.812,51.516000000000005,70.812,48.092,8.6,8.758,287.4,12.059999999999999,1.7080000000000002
04-26-2017,71.238,54.69000000000001,71.238,54.402,0.4740000000000001,51.382000000000005,0.6900000000000002,0.02,0.00086,0.00424,0.198,1014.8359999999999,1493212318.4,1493261128.8,71.238,54.69000000000001,71.238,54.402,7.0,8.716,252.6,12.856,2.8440000000000003
