DateTime,CA_CustomerCount
2008-01-01,15256818.0
2008-01-02,15229871.709677419
2008-01-03,15202925.41935484
2008-01-04,15175979.129032258
2008-01-05,15149032.838709677
2008-01-06,15122086.548387097
2008-01-07,15095140.258064516
2008-01-08,15068193.967741935
2008-01-09,15041247.677419355
2008-01-10,15014301.387096774
2008-01-11,14987355.096774194
2008-01-12,14960408.806451613
2008-01-13,14933462.516129032
2008-01-14,14906516.225806452
2008-01-15,14879569.935483871
2008-01-16,14852623.64516129
2008-01-17,14825677.35483871
2008-01-18,14798731.064516129
2008-01-19,14771784.774193548
2008-01-20,14744838.483870968
2008-01-21,14717892.193548387
2008-01-22,14690945.903225806
2008-01-23,14663999.612903226
2008-01-24,14637053.322580645
2008-01-25,14610107.032258064
2008-01-26,14583160.741935484
2008-01-27,14556214.451612903
2008-01-28,14529268.161290323
2008-01-29,14502321.870967742
2008-01-30,14475375.58064516
2008-01-31,14448429.290322581
2008-02-01,14421483.0
2008-02-02,14432452.103448275
2008-02-03,14443421.206896551
2008-02-04,14454390.310344828
2008-02-05,14465359.413793104
2008-02-06,14476328.51724138
2008-02-07,14487297.620689655
2008-02-08,14498266.72413793
2008-02-09,14509235.827586208
2008-02-10,14520204.931034483
2008-02-11,14531174.034482758
2008-02-12,14542143.137931034
2008-02-13,14553112.24137931
2008-02-14,14564081.344827587
2008-02-15,14575050.448275862
2008-02-16,14586019.551724138
2008-02-17,14596988.655172413
2008-02-18,14607957.75862069
2008-02-19,14618926.862068966
2008-02-20,14629895.965517242
2008-02-21,14640865.068965517
2008-02-22,14651834.172413792
2008-02-23,14662803.27586207
2008-02-24,14673772.379310345
2008-02-25,14684741.48275862
2008-02-26,14695710.586206896
2008-02-27,14706679.689655172
2008-02-28,14717648.793103449
2008-02-29,14728617.896551725
2008-03-01,14739587.0
2008-03-02,14739072.967741935
2008-03-03,14738558.935483871
2008-03-04,14738044.903225806
2008-03-05,14737530.870967742
2008-03-06,14737016.838709677
2008-03-07,14736502.806451613
2008-03-08,14735988.774193548
2008-03-09,14735474.741935484
2008-03-10,14734960.709677419
2008-03-11,14734446.677419355
2008-03-12,14733932.64516129
2008-03-13,14733418.612903226
2008-03-14,14732904.58064516
2008-03-15,14732390.548387097
2008-03-16,14731876.516129032
2008-03-17,14731362.483870968
2008-03-18,14730848.451612903
2008-03-19,14730334.41935484
2008-03-20,14729820.387096774
2008-03-21,14729306.35483871
2008-03-22,14728792.322580645
2008-03-23,14728278.290322581
2008-03-24,14727764.258064516
2008-03-25,14727250.225806452
2008-03-26,14726736.193548387
2008-03-27,14726222.161290323
2008-03-28,14725708.129032258
2008-03-29,14725194.096774194
2008-03-30,14724680.064516129
2008-03-31,14724166.032258065
2008-04-01,14723652.0
2008-04-02,14723600.166666666
2008-04-03,14723548.333333334
2008-04-04,14723496.5
2008-04-05,14723444.666666666
2008-04-06,14723392.833333334
2008-04-07,14723341.0
2008-04-08,14723289.166666666
2008-04-09,14723237.333333334
2008-04-10,14723185.5
2008-04-11,14723133.666666666
2008-04-12,14723081.833333334
2008-04-13,14723030.0
2008-04-14,14722978.166666666
2008-04-15,14722926.333333334
2008-04-16,14722874.5
2008-04-17,14722822.666666666
2008-04-18,14722770.833333334
2008-04-19,14722719.0
2008-04-20,14722667.166666666
2008-04-21,14722615.333333334
2008-04-22,14722563.5
2008-04-23,14722511.666666666
2008-04-24,14722459.833333334
2008-04-25,14722408.0
2008-04-26,14722356.166666666
2008-04-27,14722304.333333334
2008-04-28,14722252.5
2008-04-29,14722200.666666666
2008-04-30,14722148.833333334
2008-05-01,14722097.0
2008-05-02,14723868.967741935
2008-05-03,14725640.935483871
2008-05-04,14727412.903225806
2008-05-05,14729184.870967742
2008-05-06,14730956.838709677
2008-05-07,14732728.806451613
2008-05-08,14734500.774193548
2008-05-09,14736272.741935484
2008-05-10,14738044.709677419
2008-05-11,14739816.677419355
2008-05-12,14741588.64516129
2008-05-13,14743360.612903226
2008-05-14,14745132.58064516
2008-05-15,14746904.548387097
2008-05-16,14748676.516129032
2008-05-17,14750448.483870968
2008-05-18,14752220.451612903
2008-05-19,14753992.41935484
2008-05-20,14755764.387096774
2008-05-21,14757536.35483871
2008-05-22,14759308.322580645
2008-05-23,14761080.290322581
2008-05-24,14762852.258064516
2008-05-25,14764624.225806452
2008-05-26,14766396.193548387
2008-05-27,14768168.161290323
2008-05-28,14769940.129032258
2008-05-29,14771712.096774194
2008-05-30,14773484.064516129
2008-05-31,14775256.032258065
2008-06-01,14777028.0
2008-06-02,14785477.6
2008-06-03,14793927.2
2008-06-04,14802376.8
2008-06-05,14810826.4
2008-06-06,14819276.0
2008-06-07,14827725.6
2008-06-08,14836175.2
2008-06-09,14844624.8
2008-06-10,14853074.4
2008-06-11,14861524.0
2008-06-12,14869973.6
2008-06-13,14878423.2
2008-06-14,14886872.8
2008-06-15,14895322.4
2008-06-16,14903772.0
2008-06-17,14912221.6
2008-06-18,14920671.2
2008-06-19,14929120.8
2008-06-20,14937570.4
2008-06-21,14946020.0
2008-06-22,14954469.6
2008-06-23,14962919.2
2008-06-24,14971368.8
2008-06-25,14979818.4
2008-06-26,14988268.0
2008-06-27,14996717.6
2008-06-28,15005167.2
2008-06-29,15013616.8
2008-06-30,15022066.4
2008-07-01,15030516.0
2008-07-02,15024524.548387097
2008-07-03,15018533.096774194
2008-07-04,15012541.64516129
2008-07-05,15006550.193548387
2008-07-06,15000558.741935484
2008-07-07,14994567.290322581
2008-07-08,14988575.838709677
2008-07-09,14982584.387096774
